#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 0.000000 1.160430 0.128043 0.000000
 0.200000 1.047068 -0.512618 0.000000
 0.400000 0.684148 -1.695497 0.000000
 0.600000 1.099972 -1.504469 0.000000
 0.800000 1.068988 -0.332609 0.000000
 1.000000 0.996508 0.097235 0.000000
 1.200000 1.346681 -0.946539 0.009817
 1.400000 1.129467 -1.326863 0.000000
 1.600000 1.232106 -0.709980 0.069767
 1.800000 1.041984 0.076510 1.193722
 2.000000 1.332692 -0.599939 0.127687
 2.200000 1.091615 -1.632192 0.012014
 2.400000 1.120876 -1.470552 0.045042
 2.600000 0.906328 -0.262392 1.231521
 2.800000 0.820950 0.179588 1.167550
 3.000000 1.087750 -0.580033 1.249129
 3.200000 0.974800 -1.566406 0.036872
 3.400000 0.781446 -0.864760 1.249258
 3.600000 0.712176 -0.081269 1.434556
 3.800000 1.094045 -0.223497 2.024855
 4.000000 1.243406 -1.102016 0.753162
 4.200000 1.319380 -1.612528 0.409304
 4.400000 0.870077 -0.943551 1.950055
 4.600000 1.124996 -0.310313 2.271335
 4.800000 0.830687 -0.042162 1.574846
 5.000000 0.925073 -1.041682 1.810457
 5.200000 0.808870 -1.341232 1.568529
 5.400000 0.980960 -0.547016 2.950945
 5.600000 0.880461 -0.087761 1.711834
 5.800000 0.984682 -0.775296 3.332350
 6.000000 1.176618 -1.618659 0.643211
 6.200000 0.691987 -0.823751 2.589050
 6.400000 0.771601 -0.335488 1.971983
 6.600000 0.804230 -0.383372 2.154551
 6.800000 0.910302 -0.569468 2.875831
 7.000000 0.634687 -0.530511 1.987866
 7.200000 1.163485 -1.098977 3.451459
 7.400000 0.992859 -0.841550 4.026130
 7.600000 1.090397 -0.434359 3.505281
 7.800000 0.929967 -0.350151 3.149916
 8.000000 0.917964 -0.557054 3.821400
 8.200000 1.180692 -1.125403 3.590500
 8.400000 1.189389 -1.649568 1.722249
 8.600000 1.306921 -1.105035 3.465357
 8.800000 0.946005 -0.000994 2.195435
 9.000000 0.874418 0.340885 1.034154
 9.200000 0.928158 -0.715901 4.948252
 9.400000 0.861968 -1.774771 1.146442
 9.600000 0.992252 -1.784846 1.238153
 9.800000 1.038917 -0.610357 5.019774
