#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 0.000000 -1.256673 2.876746 0.000000
 0.200000 -2.718336 2.425417 0.000000
 0.400000 -2.335214 2.670349 0.000000
 0.600000 -2.015246 2.711391 0.000000
 0.800000 -1.854406 2.394528 0.000000
 1.000000 -2.313841 2.273215 0.000000
 1.200000 -2.483926 -3.121544 0.040741
 1.400000 -2.227657 2.890237 0.237265
 1.600000 -1.733137 2.071459 0.578650
 1.800000 -1.198575 0.998556 0.000000
 2.000000 -1.469847 0.681843 0.000000
 2.200000 -1.248591 0.847418 0.985660
 2.400000 -1.614217 1.491655 0.112982
 2.600000 -1.490877 1.401424 0.150260
 2.800000 -1.464482 1.734801 0.118089
 3.000000 -1.275181 1.400914 0.134900
 3.200000 -1.330185 0.763399 1.342866
 3.400000 -1.750361 0.855797 1.161163
 3.600000 -1.010072 1.051407 1.108984
 3.800000 -1.855920 1.747517 0.683021
 4.000000 -2.272384 2.777169 0.409184
 4.200000 -2.786056 -2.820676 0.105300
 4.400000 -2.374069 2.370007 1.724555
 4.600000 -2.022237 1.767930 0.642095
 4.800000 -0.993908 1.323517 1.165401
 5.000000 -1.731662 1.544031 0.893971
 5.200000 -1.286783 0.989276 1.570874
 5.400000 -1.639452 0.699018 1.317984
 5.600000 -1.251809 0.795665 1.377647
 5.800000 -1.275561 1.744850 1.486314
 6.000000 -1.479853 2.164615 0.745679
 6.200000 -1.773949 2.576542 1.666375
 6.400000 -1.682610 2.883946 0.882195
 6.600000 -2.565062 2.451581 1.726918
 6.800000 -2.634209 2.911600 1.072414
 7.000000 -2.535680 3.004020 0.970604
 7.200000 -2.521744 2.583330 2.291651
 7.400000 -2.336845 2.621924 2.502262
 7.600000 -2.749068 2.854201 1.980481
 7.800000 -2.538571 2.988590 2.153124
 8.000000 -2.552385 2.741645 2.363041
 8.200000 -2.233391 2.699789 3.407603
 8.400000 -2.720138 2.588421 2.830371
 8.600000 -2.511904 2.958220 3.123370
 8.800000 -2.577744 2.685995 3.358528
 9.000000 -2.535436 2.512719 3.047937
 9.200000 -2.455539 2.855448 4.069153
 9.400000 -2.546108 2.879127 3.916320
 9.600000 -1.900010 2.896855 2.479065
 9.800000 -1.984969 2.022499 2.370281
 10.000000 -1.365211 1.549051 2.305141
 10.200000 -1.678511 0.907223 1.595064
 10.400000 -1.295861 0.513213 1.075881
 10.600000 -1.267571 0.884985 1.623711
 10.800000 -1.809269 1.423244 2.779672
 11.000000 -1.176821 1.312051 2.736525
 11.200000 -1.545347 0.580362 1.328932
 11.400000 -1.042221 0.209345 0.354091
 11.600000 -1.722453 0.965681 2.033411
 11.800000 -1.075689 1.329450 3.576680
 12.000000 -1.759527 1.816236 3.049039
 12.200000 -1.073276 1.942465 2.535289
 12.400000 -1.395857 2.109334 2.863982
 12.600000 -1.913848 2.460521 3.351282
 12.800000 -2.934903 -3.101992 1.575747
 13.000000 -2.481879 2.928345 3.746394
 13.200000 -2.270158 2.303158 3.878686
 13.400000 -2.515326 2.076546 2.478344
 13.600000 -2.266080 3.117275 3.282718
 13.800000 -2.799391 3.050046 3.359774
 14.000000 -2.614057 2.347644 3.599769
 14.200000 -1.835707 1.999847 3.866015
 14.400000 -0.988220 1.786127 2.827665
 14.600000 -2.015060 1.909541 3.656679
 14.800000 -2.697831 2.486624 4.985366
 15.000000 -2.478244 -3.035887 2.505857
 15.200000 -2.618849 -3.075771 3.770504
 15.400000 -2.405316 2.459055 5.522407
 15.600000 -1.742578 2.011211 3.837150
 15.800000 -0.972858 1.871742 2.430897
 16.000000 -1.576499 2.018894 3.650621
 16.200000 -1.994532 2.673165 4.639833
 16.400000 -2.802539 2.977884 4.581434
 16.600000 -2.111185 3.092806 3.868013
 16.800000 -1.625159 2.307255 3.758045
 17.000000 -1.244214 1.847389 4.316307
 17.200000 -1.952228 0.886360 1.354790
 17.400000 -0.890889 -0.399325 0.004938
 17.600000 -1.665861 -0.151587 0.059839
 17.800000 -1.589203 1.129127 3.230142
 18.000000 -1.274175 1.552645 5.642770
 18.200000 -1.834158 1.647584 5.670078
 18.400000 -2.226444 1.404152 2.332962
 18.600000 -1.077771 0.756112 1.563457
 18.800000 -1.547334 0.610626 1.417989
 19.000000 -1.525686 0.949545 2.563889
 19.200000 -1.450497 1.034115 4.174805
 19.400000 -1.518863 0.787591 2.868753
 19.600000 -1.001279 0.505861 1.150472
 19.800000 -1.800221 0.623182 1.794900
 20.000000 -1.727419 0.646197 2.014316
 20.200000 -1.014390 0.436105 1.352179
 20.400000 -1.532645 0.648890 3.280924
 20.600000 -1.325800 0.817886 3.719820
 20.800000 -1.426892 1.119924 5.092232
 21.000000 -1.513876 0.933948 4.284473
 21.200000 -1.482140 0.883724 5.102724
 21.400000 -2.222493 0.866022 2.255776
 21.600000 -1.232991 1.059645 5.338842
 21.800000 -1.658592 1.123068 5.524967
 22.000000 -1.416469 0.863955 4.978564
 22.200000 -1.190181 0.446791 2.531053
 22.400000 -1.347740 0.282082 1.647294
 22.600000 -1.608415 0.098375 0.754905
 22.800000 -1.194340 0.351534 1.869175
 23.000000 -1.262530 1.325906 6.890015
 23.200000 -1.292850 1.942483 5.824335
 23.400000 -1.555065 2.777332 1.985132
